Gene	sgRNA	eff
HDAC1	HDAC1_g1	1
HDAC1	HDAC1_g2	1
HDAC1	HDAC1_g3	1
HDAC1	HDAC1_g4	1
HDAC1	HDAC1_g5	1
HDAC1	HDAC1_g6	1
HDAC10	HDAC10_g7	1
HDAC10	HDAC10_g8	1
HDAC10	HDAC10_g9	1
HDAC10	HDAC10_g10	1
HDAC10	HDAC10_g11	1
HDAC10	HDAC10_g12	1
HDAC11	HDAC11_g13	1
HDAC11	HDAC11_g14	1
HDAC11	HDAC11_g15	1
HDAC11	HDAC11_g16	1
HDAC11	HDAC11_g17	1
HDAC11	HDAC11_g18	1
HDAC2	HDAC2_g19	1
HDAC2	HDAC2_g20	1
HDAC2	HDAC2_g21	1
HDAC2	HDAC2_g22	1
HDAC2	HDAC2_g23	1
HDAC2	HDAC2_g24	1
HDAC3	HDAC3_g25	1
HDAC3	HDAC3_g26	1
HDAC3	HDAC3_g27	1
HDAC3	HDAC3_g28	1
HDAC3	HDAC3_g29	1
HDAC3	HDAC3_g30	1
HDAC4	HDAC4_g31	1
HDAC4	HDAC4_g32	1
HDAC4	HDAC4_g33	1
HDAC4	HDAC4_g34	1
HDAC4	HDAC4_g35	1
HDAC4	HDAC4_g36	1
HDAC5	HDAC5_g37	1
HDAC5	HDAC5_g38	1
HDAC5	HDAC5_g39	1
HDAC5	HDAC5_g40	1
HDAC5	HDAC5_g41	1
HDAC5	HDAC5_g42	1
HDAC6	HDAC6_g43	1
HDAC6	HDAC6_g44	1
HDAC6	HDAC6_g45	1
HDAC6	HDAC6_g46	1
HDAC6	HDAC6_g47	1
HDAC6	HDAC6_g48	1
HDAC7	HDAC7_g49	1
HDAC7	HDAC7_g50	1
HDAC7	HDAC7_g51	1
HDAC7	HDAC7_g52	1
HDAC7	HDAC7_g53	1
HDAC7	HDAC7_g54	1
HDAC8	HDAC8_g55	1
HDAC8	HDAC8_g56	1
HDAC8	HDAC8_g57	1
HDAC8	HDAC8_g58	1
HDAC8	HDAC8_g59	1
HDAC8	HDAC8_g60	1
HDAC9	HDAC9_g61	1
HDAC9	HDAC9_g62	1
