sgRNA	Gene	L6_F1	L6_F2	L6_F3	L6_F4
HDAC1_g1	HDAC1	0.9340492600450838	1.0723290216072197	1.1588579158067462	1.4565146311705994
HDAC1_g2	HDAC1	0.5418277396328723	0.6004488181937477	0.7865552463348066	0.770263293618244
HDAC1_g3	HDAC1	1.2281368631798666	1.5751430007481337	1.5263148344261888	2.363772421726791
HDAC1_g4	HDAC1	1.074802246153949	1.3695956568119572	1.3718743251980259	1.4735954509022842
HDAC1_g5	HDAC1	0.9879227400133612	1.2340164692447064	1.0325038027703444	1.0854643825193828
HDAC1_g6	HDAC1	1.0379492537116597	1.1523144368290859	1.2905353350263935	1.704762267908651
HDAC10_g7	HDAC10	0.8274684448945822	1.2085787484705879	1.331953439845563	1.151923348235544
HDAC10_g8	HDAC10	1.084754100498895	1.1456777894151529	1.7737082206830592	1.6366323334898665
HDAC10_g9	HDAC10	1.2334942407069451	1.273224687378647	1.552873830981481	1.8385728955626746
HDAC10_g10	HDAC10	1.2125718486914365	1.142695085874354	1.728425298960823	1.561554864492986
HDAC10_g11	HDAC10	0.8764760524572144	0.7685964342916997	1.1648975471310923	1.5525605387503607
HDAC10_g12	HDAC10	1.3094648543407883	1.2239888378873787	1.3153658438852227	1.6081287677848062
HDAC11_g13	HDAC11	0.9221910287723708	1.30139004950859	1.3541792942835016	1.772934183765855
HDAC11_g14	HDAC11	0.7387187704521917	0.8265133122275031	0.9848006122944529	0.9854196687865366
HDAC11_g15	HDAC11	0.9205450967209975	1.4514188701596613	1.500187789215223	1.708565568385582
HDAC11_g16	HDAC11	0.9904725676020406	1.283314119729374	1.3321030987959188	1.6760478953451994
HDAC11_g17	HDAC11	1.0540679593331892	1.4559763207986045	1.5406397104899816	1.8510448955467784
HDAC11_g18	HDAC11	0.9153529350023795	1.2420595611030925	1.4634900146621592	1.3640344013287307
HDAC2_g19	HDAC2	0.5834293520009144	0.6436778038444685	0.5327645144151752	0.69669954557704
HDAC2_g20	HDAC2	0.6526447371062485	0.7647492042412042	0.9263032423838456	0.8239985257601539
HDAC2_g21	HDAC2	1.4117958862264137	1.3949421674461213	1.802266776056424	1.5722070647404307
HDAC2_g22	HDAC2	1.320052956721365	1.0455356279669943	1.3309679589832506	1.1903963078738695
HDAC2_g23	HDAC2	1.2057964992489754	1.5856872008008425	1.4041717234181232	1.0889973414581966
HDAC2_g24	HDAC2	0.924348482756471	1.0493392679876803	1.1674492011379973	1.2867185946017459
HDAC3_g25	HDAC3	0.673969404414653	0.9190957724923267	1.0940957883185582	1.4947246558813685
HDAC3_g26	HDAC3	0.8372973538114045	1.0739006641302657	1.1644131552714827	1.5336924027644054
HDAC3_g27	HDAC3	0.785067640732067	0.9840229464719233	0.9751353268126477	1.2978541590955854
HDAC3_g28	HDAC3	0.8666939512673606	0.9284473213249346	1.2409188979368946	2.4569397641466373
HDAC3_g29	HDAC3	0.39161009486201	0.6088941745557344	0.5130599520052925	0.41801679997793467
HDAC3_g30	HDAC3	0.6331278552569585	0.9481706849736578	1.1369053444133617	1.181323110118496
HDAC4_g31	HDAC4	1.0755213056443889	1.3869924054630403	1.3851395141331997	1.362472894321588
HDAC4_g32	HDAC4	1.0224553609678606	1.5919923589117966	1.2947172888165366	1.2163268601974293
HDAC4_g33	HDAC4	1.0258376810253895	1.2193033443423529	1.1658568361601023	1.3819494408820459
HDAC4_g34	HDAC4	0.728284534655888	0.8235328293278813	0.7812626317792298	1.1381373195871678
HDAC4_g35	HDAC4	0.8313443633688185	1.098722005802427	1.6664282721308845	1.53291684180437
HDAC4_g36	HDAC4	0.7875731869586536	1.0477597925315654	1.2297758734296498	1.2477555987457134
HDAC5_g37	HDAC5	1.06718853689904	1.273222366036877	1.671861881095987	1.5776203287750277
HDAC5_g38	HDAC5	1.1852574952995745	1.2437926057242146	1.3095566496453455	1.6380732121633204
HDAC5_g39	HDAC5	1.149015688302679	1.233356920004729	1.4947966926277831	1.4289498874623525
HDAC5_g40	HDAC5	0.6500781434589783	0.49851968968528004	0.6547340558156788	0.8310175412458591
HDAC5_g41	HDAC5	1.1791512253312277	1.6296515385802381	1.3923544023275494	1.213860474483288
HDAC5_g42	HDAC5	0.8751392180561398	1.1639019302196079	1.2339236188175835	1.0658651258874268
HDAC6_g43	HDAC6	0.738266739762314	0.9999498915623671	1.0905956050086558	1.0671603450900737
HDAC6_g44	HDAC6	1.493178568983637	1.484622168360405	1.6202662961283345	1.7704778423803702
HDAC6_g45	HDAC6	0.9012720872964798	1.079220751470612	1.0811298361248076	0.9241388869275293
HDAC6_g46	HDAC6	0.8873336136046319	1.015359775923025	1.2573276472373462	1.1391295992075892
HDAC6_g47	HDAC6	1.0946074378235706	1.0967427869929853	1.0693455409778287	1.3115618330832637
HDAC6_g48	HDAC6	1.094855533479137	1.1236095200036469	1.1955215214570336	1.668310555063123
HDAC7_g49	HDAC7	1.2809660252332156	1.3868556906915752	1.5395726697919572	1.9957452146036403
HDAC7_g50	HDAC7	0.953363307927847	0.9424027249123487	1.3141012414606073	1.3873597359627337
HDAC7_g51	HDAC7	0.8142580155680019	0.6245648921584913	0.8485332789286161	1.0232423049545578
HDAC7_g52	HDAC7	0.8489154814152646	0.8463069040241114	1.161768766660563	1.1674762598615527
