Gene	sgRNA	L6_F1|beta	L6_F1|z	L6_F1|p-value	L6_F1|fdr	L6_F1|wald-p-value	L6_F1|wald-fdr	L6_F2|beta	L6_F2|z	L6_F2|p-value	L6_F2|fdr	L6_F2|wald-p-value	L6_F2|wald-fdr	L6_F4|beta	L6_F4|z	L6_F4|p-value	L6_F4|fdr	L6_F4|wald-p-value	L6_F4|wald-fdr
HDAC1	6	0.0079845	0.20361	0.86598	0.98876	0.83866	0.96655	0.042354	1.08	0.54639	0.97895	0.28016	0.70607	0.053737	1.3702	0.30928	1	0.17064	0.50157
HDAC10	6	-0.052541	-1.1837	0.12371	0.73913	0.23653	0.8576	-0.097484	-2.1962	0.082474	0.8	0.028078	0.38199	-0.034464	-0.77634	0.63918	1	0.43755	0.70169
HDAC11	6	-0.088177	-2.8528	0.020619	0.4	0.0043333	0.21017	0.010619	0.34351	0.96907	0.97917	0.73121	0.89782	0.013579	0.43924	0.79381	1	0.66049	0.87763
HDAC2	6	0.03293	0.7702	0.75258	0.98876	0.44118	0.90684	0.0021006	0.04913	0.89691	0.97895	0.96082	0.99245	-0.1053	-2.4627	0.10309	0.75	0.013789	0.18454
HDAC3	6	-0.056687	-0.88822	0.1134	0.73913	0.37442	0.90684	-0.0010462	-0.016392	0.86598	0.97895	0.98692	0.99245	0.10383	1.6266	0.051546	0.45455	0.10383	0.40285
HDAC4	6	-0.047151	-1.1796	0.14433	0.73913	0.23816	0.8576	0.028439	0.71139	0.71134	0.97895	0.47684	0.79748	-0.040282	-1.0076	0.57732	1	0.31364	0.63109
HDAC5	6	-0.010477	-0.26321	0.54639	0.98876	0.79239	0.96655	0.0016374	0.041135	0.89691	0.97895	0.96719	0.99245	-0.06647	-1.6698	0.26804	0.96296	0.094967	0.38382
HDAC6	6	0.030547	0.99633	0.7732	0.98876	0.31909	0.8654	0.015552	0.50722	0.95876	0.97895	0.612	0.86034	-0.024888	-0.81168	0.70103	1	0.41697	0.70169
HDAC7	6	0.0084919	0.19894	0.86598	0.98876	0.84231	0.96655	-0.027494	-0.64408	0.53608	0.97895	0.51952	0.82912	0.076569	1.7935	0.2268	0.91667	0.072885	0.32627
HDAC8	6	-0.0078919	-0.19826	0.54639	0.98876	0.84284	0.96655	-0.041652	-1.0464	0.38144	0.97895	0.2954	0.70746	0.029901	0.75107	0.56701	1	0.45261	0.70169
HDAC9	6	0.047533	1.0283	0.57732	0.98876	0.30381	0.8654	-0.020691	-0.44761	0.63918	0.97895	0.65443	0.86775	0.10386	2.2465	0.051546	0.45455	0.02467	0.18454
