Gene	sgRNA	L1_F2|beta	L1_F2|z	L1_F2|p-value	L1_F2|fdr	L1_F2|wald-p-value	L1_F2|wald-fdr	L1_F3|beta	L1_F3|z	L1_F3|p-value	L1_F3|fdr	L1_F3|wald-p-value	L1_F3|wald-fdr	L1_F4|beta	L1_F4|z	L1_F4|p-value	L1_F4|fdr	L1_F4|wald-p-value	L1_F4|wald-fdr
HDAC1	6	0.019229	0.99691	0.62887	0.98936	0.31881	0.74812	0.02047	1.0612	0.6701	0.98901	0.2886	0.78844	-0.00023098	-0.011975	0.93814	1	0.99045	0.99635
HDAC10	6	0.0076784	0.37769	0.95876	0.98936	0.70566	0.87755	0.00083204	0.040926	0.97938	0.98969	0.96736	0.99425	-0.0097461	-0.47938	0.72165	1	0.63167	0.92072
HDAC11	6	0.024151	1.5824	0.47423	0.93878	0.11355	0.74812	0.015263	1	0.82474	0.98901	0.31731	0.78844	0.015249	0.99911	0.78351	1	0.31774	0.75254
HDAC2	6	-0.0078698	-0.2906	0.64948	0.98936	0.77136	0.90146	-0.034998	-1.2923	0.36082	0.98901	0.19625	0.75566	0.036672	1.3541	0.25773	0.86111	0.17571	0.65555
HDAC3	6	-0.011261	-0.51615	0.5567	0.98182	0.60575	0.86195	0.018229	0.83545	0.75258	0.98901	0.40346	0.81533	0.037516	1.7194	0.24742	0.86111	0.08555	0.47169
HDAC4	6	0.027611	1.2063	0.4433	0.93878	0.22772	0.74812	-0.0058233	-0.2544	0.82474	0.98901	0.79918	0.94039	0.0056014	0.24471	0.94845	1	0.80668	0.97757
HDAC5	6	0.037104	1.7298	0.29897	0.93878	0.083658	0.74812	0.024117	1.1244	0.51546	0.98901	0.26086	0.75566	0.024441	1.1394	0.53608	1	0.25453	0.71994
HDAC6	6	0.036063	1.5918	0.3299	0.93878	0.11143	0.74812	0.044878	1.9808	0.28866	0.98901	0.047614	0.4466	0.031345	1.3835	0.31959	0.86111	0.16651	0.64605
HDAC7	6	0.020702	0.61996	0.60825	0.98936	0.53529	0.83506	0.0068752	0.20588	0.90722	0.98901	0.83689	0.94039	0.072843	2.1812	0.041237	0.4	0.029169	0.21765
HDAC8	6	0.022381	0.89766	0.5567	0.98182	0.36937	0.74812	0.0084462	0.33875	0.89691	0.98901	0.7348	0.94039	0.072275	2.8986	0.041237	0.4	0.0037488	0.060605
HDAC9	6	0.039567	1.5964	0.25773	0.93878	0.11039	0.74812	-0.0064602	-0.26065	0.81443	0.98901	0.79436	0.94039	0.040517	1.6347	0.2268	0.86111	0.10212	0.47169
SIRT1	6	0.019778	1.0489	0.62887	0.98936	0.29423	0.74812	-0.0019392	-0.10284	0.91753	0.98901	0.91809	0.96947	0.0039644	0.21024	0.97938	1	0.83348	0.97757
SIRT2	6	0.095795	2.4084	0.010309	0.2	0.016022	0.6895	0.039138	0.98397	0.38144	0.98901	0.32513	0.78844	0.044133	1.1095	0.19588	0.86111	0.26719	0.71994
SIRT3	6	0.11007	2.386	0.010309	0.2	0.017034	0.6895	0.065325	1.4161	0.1134	0.98901	0.15675	0.73254	0.076444	1.6571	0.041237	0.4	0.097502	0.47169
SIRT4	6	0.027137	0.82894	0.45361	0.93878	0.40714	0.74812	0.040802	1.2463	0.37113	0.98901	0.21264	0.75566	0.075662	2.3111	0.041237	0.4	0.020828	0.20203
SIRT5	6	-0.0028578	-0.11362	0.86598	0.98936	0.90954	0.97672	-0.016706	-0.66418	0.59794	0.98901	0.50657	0.83585	0.0055922	0.22233	0.94845	1	0.82406	0.97757
SIRT6	6	0.03493	1.2638	0.3299	0.93878	0.20629	0.74812	0.027607	0.99883	0.48454	0.98901	0.31788	0.78844	0.035046	1.268	0.26804	0.86111	0.20481	0.66099
SIRT7	6	0.033894	1.1034	0.3299	0.93878	0.26985	0.74812	0.019943	0.64922	0.69072	0.98901	0.5162	0.83585	-0.0039975	-0.13014	0.79381	1	0.89646	0.97757
SMARCA1	6	0.0058512	0.27042	0.98969	1	0.78684	0.90861	0.013261	0.61282	0.85567	0.98901	0.53999	0.83585	0.016507	0.76284	0.72165	1	0.44556	0.80035
SMARCA2	6	0.029383	0.94605	0.40206	0.93878	0.34412	0.74812	0.043789	1.4098	0.29897	0.98901	0.15859	0.73254	0.0020041	0.064525	0.95876	1	0.94855	0.98972
SMARCA4	6	0.026947	1.0126	0.47423	0.93878	0.31124	0.74812	0.055875	2.0996	0.18557	0.98901	0.035766	0.38548	0.019681	0.73957	0.63918	1	0.45956	0.80146
SMARCA5	6	0.03396	0.93536	0.3299	0.93878	0.3496	0.74812	0.026147	0.72016	0.49485	0.98901	0.47143	0.83585	-0.014346	-0.39514	0.6701	1	0.69274	0.95123
SMARCAD1	6	0.011345	0.51398	0.79381	0.98936	0.60727	0.86195	0.011239	0.50914	0.8866	0.98901	0.61066	0.89748	-0.0083249	-0.37714	0.73196	1	0.70607	0.95123
SMARCAL1	6	-0.04421	-2.3022	0.14433	0.93878	0.021325	0.6895	0.0080143	0.4173	0.89691	0.98901	0.67646	0.94039	-0.0049998	-0.26034	0.7732	1	0.7946	0.97757
SMARCB1	6	0.043578	1.3847	0.20619	0.93878	0.16615	0.74812	0.045627	1.4497	0.26804	0.98901	0.14714	0.73254	0.080723	2.5648	0.030928	0.4	0.010324	0.14306
SMARCC1	6	0.031155	1.2699	0.40206	0.93878	0.20413	0.74812	0.021003	0.85603	0.64948	0.98901	0.39198	0.81533	0.034451	1.4041	0.27835	0.86111	0.16028	0.64605
