Gene	sgRNA	L3_F1|beta	L3_F1|z	L3_F1|p-value	L3_F1|fdr	L3_F1|wald-p-value	L3_F1|wald-fdr	L3_F2|beta	L3_F2|z	L3_F2|p-value	L3_F2|fdr	L3_F2|wald-p-value	L3_F2|wald-fdr	L3_F3|beta	L3_F3|z	L3_F3|p-value	L3_F3|fdr	L3_F3|wald-p-value	L3_F3|wald-fdr
HDAC1	6	0.014509	0.78439	0.79381	1	0.43281	0.63976	-0.0018048	-0.097572	0.82474	0.98936	0.92227	0.98286	-0.01158	-0.6261	0.70103	1	0.53125	0.9867
HDAC10	6	-0.016538	-0.58577	0.68041	1	0.55803	0.71798	-0.0054981	-0.19472	0.76289	0.98936	0.84561	0.97648	-0.023965	-0.84886	0.4433	1	0.39596	0.9867
HDAC11	6	0.034202	0.98484	0.48454	0.97959	0.3247	0.63798	0.082391	2.3722	0.072165	0.85366	0.017681	0.24501	0.033151	0.95461	0.47423	1	0.33977	0.9867
HDAC2	6	0.051852	1.5485	0.39175	0.97959	0.12151	0.47147	0.017329	0.51747	0.83505	0.98936	0.60483	0.83812	0.045176	1.3491	0.31959	1	0.17729	0.9867
HDAC3	6	0.019308	0.57618	0.72165	1	0.5645	0.71798	0.070897	2.1155	0.13402	0.85366	0.03439	0.37065	0.00077642	0.023171	0.97938	1	0.98151	0.99827
HDAC4	6	0.033186	0.90285	0.48454	0.97959	0.3666	0.63798	-0.021508	-0.58513	0.56701	0.98936	0.55846	0.8334	-0.0043913	-0.11948	0.80412	1	0.9049	0.99827
HDAC5	6	-0.034764	-1.3566	0.43299	0.97959	0.1749	0.54726	0.0060647	0.23665	0.93814	0.98936	0.81293	0.95005	-0.04237	-1.6536	0.24742	1	0.098216	0.88166
HDAC6	6	-0.011708	-0.58873	0.75258	1	0.55604	0.71798	-0.021529	-1.0825	0.56701	0.98936	0.27902	0.58838	0.00040599	0.020416	0.96907	1	0.98371	0.99827
HDAC7	6	0.051067	1.3307	0.40206	0.97959	0.18327	0.55555	0.04431	1.1546	0.36082	0.85366	0.24825	0.56001	0.015345	0.39991	0.73196	1	0.68922	0.9867
HDAC8	6	0.029467	0.90787	0.50515	0.98	0.36394	0.63798	0.060373	1.8599	0.19588	0.85366	0.062897	0.456	0.027796	0.85643	0.54639	1	0.39176	0.9867
HDAC9	6	-0.035265	-1.1263	0.42268	0.97959	0.26006	0.63798	-0.039712	-1.2682	0.36082	0.85366	0.20473	0.56001	-0.040868	-1.3053	0.24742	1	0.1918	0.9867
