Gene	sgRNA	L6_F1|beta	L6_F1|z	L6_F1|p-value	L6_F1|fdr	L6_F1|wald-p-value	L6_F1|wald-fdr	L6_F3|beta	L6_F3|z	L6_F3|p-value	L6_F3|fdr	L6_F3|wald-p-value	L6_F3|wald-fdr	L6_F4|beta	L6_F4|z	L6_F4|p-value	L6_F4|fdr	L6_F4|wald-p-value	L6_F4|wald-fdr
HDAC1	6	-0.028729	-0.80666	0.3299	0.86486	0.41986	0.79856	-0.031436	-0.88259	0.54639	0.97938	0.37746	0.7969	0.017017	0.47775	0.76289	0.98958	0.63283	0.88042
HDAC10	6	0.050411	1.0001	0.50515	0.98901	0.31724	0.79856	0.10839	2.1501	0.092784	0.9	0.031544	0.55709	0.068503	1.3589	0.18557	0.78261	0.17418	0.50511
HDAC11	6	-0.093138	-2.9154	0.030928	0.375	0.0035525	0.34459	0.00041862	0.013102	0.96907	0.97938	0.98955	0.98955	0.0086168	0.26967	0.85567	0.98958	0.78741	0.93024
HDAC2	6	0.036497	0.88656	0.68041	0.98901	0.37532	0.79856	0.0089739	0.21798	0.87629	0.97938	0.82744	0.91805	-0.10173	-2.4711	0.2268	0.91667	0.013469	0.16331
HDAC3	6	-0.050041	-0.80858	0.21649	0.85185	0.41876	0.79856	0.012003	0.19393	0.81443	0.97938	0.84623	0.91805	0.11048	1.7848	0.020619	0.25	0.074295	0.36033
HDAC4	6	-0.069846	-1.6417	0.082474	0.53333	0.10064	0.79856	-0.017278	-0.40608	0.72165	0.97938	0.68469	0.89749	-0.062981	-1.4802	0.40206	0.98958	0.13883	0.47098
HDAC5	6	-0.0064599	-0.17391	0.70103	0.98901	0.86193	0.95019	0.009414	0.25342	0.86598	0.97938	0.79994	0.91805	-0.062452	-1.6812	0.40206	0.98958	0.09272	0.39104
HDAC6	6	0.020649	0.66633	0.92784	0.98901	0.5052	0.84035	-0.0045358	-0.14636	0.89691	0.97938	0.88364	0.93166	-0.034787	-1.1224	0.5567	0.98958	0.26168	0.60435
HDAC7	6	0.041485	0.80912	0.59794	0.98901	0.41845	0.79856	0.038335	0.74762	0.56701	0.97938	0.45469	0.81522	0.10957	2.1367	0.030928	0.27273	0.032621	0.24168
HDAC8	6	0.039263	0.83544	0.63918	0.98901	0.40347	0.79856	0.052533	1.1177	0.49485	0.97938	0.26369	0.73059	0.077064	1.6396	0.15464	0.78261	0.10109	0.39223
HDAC9	6	0.073666	1.4126	0.27835	0.86486	0.15778	0.79856	0.031395	0.602	0.61856	0.97938	0.54717	0.84248	0.12999	2.4925	0.010309	0.25	0.012685	0.16331
SIRT1	6	0.063951	1.9754	0.36082	0.92105	0.048223	0.57532	0.010601	0.32746	0.83505	0.97938	0.74332	0.91805	-0.0019011	-0.058719	0.89691	0.98958	0.95318	0.97953
SIRT2	6	0.048212	0.67663	0.53608	0.98901	0.49864	0.84035	0.11715	1.644	0.061856	0.75	0.10017	0.56603	0.11105	1.5584	0.020619	0.25	0.11913	0.44445
SIRT3	6	-0.061146	-1.0352	0.13402	0.72222	0.3006	0.79856	-0.021914	-0.37094	0.64948	0.97938	0.71068	0.90767	-0.0296	-0.50103	0.60825	0.98958	0.61635	0.87921
SIRT4	6	-0.017036	-0.4604	0.58763	0.98901	0.64523	0.88679	0.033992	0.91853	0.60825	0.97938	0.35834	0.7969	0.034369	0.92868	0.53608	0.98958	0.35305	0.72985
SIRT5	6	-0.0030879	-0.08901	0.75258	0.98901	0.92907	0.95019	0.040409	1.1647	0.56701	0.97938	0.24414	0.73059	0.060485	1.7433	0.24742	0.92308	0.081278	0.37543
SIRT6	6	0.0022495	0.066065	0.81443	0.98901	0.94733	0.95719	0.0034643	0.10173	0.94845	0.97938	0.91897	0.93832	0.070894	2.0817	0.18557	0.78261	0.037373	0.24168
SIRT7	6	0.005887	0.14385	0.91753	0.98901	0.88562	0.95019	0.014819	0.36206	0.78351	0.97938	0.7173	0.90767	0.10424	2.5467	0.051546	0.41667	0.010875	0.16331
SMARCA1	6	-0.0055985	-0.1938	0.73196	0.98901	0.84633	0.95019	-0.042112	-1.4577	0.4433	0.97938	0.14494	0.61125	0.034657	1.1995	0.51546	0.98958	0.23032	0.57557
SMARCA2	6	0.028588	0.65707	0.74227	0.98901	0.51114	0.84035	0.023813	0.54726	0.6701	0.97938	0.5842	0.85268	0.017627	0.40508	0.73196	0.98958	0.68542	0.91076
SMARCA4	6	0.029402	0.50822	0.72165	0.98901	0.6113	0.88679	-0.085811	-1.4833	0.20619	0.90909	0.138	0.60845	-0.0071228	-0.12311	0.83505	0.98958	0.90202	0.97218
SMARCA5	6	-0.0079111	-0.17277	0.70103	0.98901	0.86284	0.95019	-0.035549	-0.77629	0.49485	0.97938	0.43758	0.81522	-0.037582	-0.82063	0.54639	0.98958	0.41185	0.73981
SMARCAD1	6	-0.050089	-1.0554	0.21649	0.85185	0.29125	0.79856	-0.081492	-1.7169	0.20619	0.90909	0.085994	0.56603	0.00649	0.13672	0.89691	0.98958	0.89125	0.97136
SMARCAL1	6	0.022747	0.45948	0.87629	0.98901	0.64589	0.88679	-0.026269	-0.5306	0.59794	0.97938	0.5957	0.85268	0.092578	1.8697	0.061856	0.46154	0.061523	0.35104
SMARCB1	6	-0.022624	-0.45502	0.45361	0.98901	0.64909	0.88679	-0.11504	-2.3137	0.16495	0.90909	0.020684	0.55709	0.0040536	0.081518	0.94845	0.98958	0.93503	0.97953
SMARCC1	6	-0.0042291	-0.087093	0.74227	0.98901	0.9306	0.95019	0.013507	0.27814	0.80412	0.97938	0.78091	0.91805	0.038543	0.79363	0.48454	0.98958	0.42741	0.74034
SMARCC2	6	-0.017133	-0.53125	0.57732	0.98901	0.59524	0.88679	0.0093072	0.28856	0.86598	0.97938	0.77292	0.91805	-0.0066161	-0.20512	0.83505	0.98958	0.83748	0.9468
SMARCD1	6	-0.013986	-0.41614	0.63918	0.98901	0.67731	0.89645	-0.054479	-1.6209	0.30928	0.97938	0.10504	0.56603	-0.019133	-0.56923	0.70103	0.98958	0.5692	0.83655
SMARCD2	6	-0.046474	-1.3559	0.21649	0.85185	0.17514	0.79856	0.0095376	0.27823	0.85567	0.97938	0.78084	0.91805	-0.049402	-1.4411	0.45361	0.98958	0.14955	0.48354
SMARCD3	6	0.046975	1.169	0.53608	0.98901	0.24242	0.79856	0.022026	0.54809	0.6701	0.97938	0.58363	0.85268	0.054252	1.3499	0.31959	0.98958	0.17705	0.50511
SMARCE1	6	-0.023806	-0.38857	0.43299	0.97674	0.6976	0.90223	-0.011469	-0.18718	0.78351	0.97938	0.85152	0.91805	-0.053707	-0.87653	0.4433	0.98958	0.38074	0.72985
SET	6	-0.051047	-0.99892	0.21649	0.85185	0.31783	0.79856	-0.085112	-1.6654	0.20619	0.90909	0.095824	0.56603	-0.09265	-1.8129	0.23711	0.92	0.069853	0.35662
SETBP1	6	-0.061798	-1.4015	0.13402	0.72222	0.16107	0.79856	-0.020552	-0.46603	0.65979	0.97938	0.64119	0.86383	-0.067094	-1.5214	0.37113	0.98958	0.12816	0.46043
SETD1A	6	0.05913	1.4793	0.40206	0.95122	0.13906	0.79856	-0.038037	-0.95161	0.46392	0.97938	0.3413	0.7969	-0.0076012	-0.19015	0.82474	0.98958	0.84919	0.9468
SETD1B	6	0.016946	0.34394	0.94845	0.98925	0.73089	0.92265	0.065703	1.3334	0.3299	0.97938	0.18241	0.70776	0.11016	2.2354	0.030928	0.27273	0.02539	0.22389
SETD2	6	-0.060737	-0.99483	0.13402	0.72222	0.31982	0.79856	-0.077163	-1.2638	0.20619	0.90909	0.20629	0.71767	-0.059207	-0.9697	0.42268	0.98958	0.3322	0.72985
SETD3	6	0.0078964	0.14226	0.92784	0.98901	0.88687	0.95019	0.0065429	0.11787	0.90722	0.97938	0.90617	0.93509	0.016567	0.29844	0.78351	0.98958	0.76537	0.93024
SETD4	6	0.027307	0.75978	0.75258	0.98901	0.44739	0.8188	-0.03056	-0.85025	0.56701	0.97938	0.39518	0.7986	0.030497	0.84844	0.58763	0.98958	0.39619	0.73905
SETD5	6	-0.041373	-0.91913	0.23711	0.85185	0.35803	0.79856	-0.039694	-0.88175	0.4433	0.97938	0.37791	0.7969	0.014833	0.32947	0.80412	0.98958	0.7418	0.93024
SETD6	6	-0.031953	-0.696	0.30928	0.86486	0.48643	0.84035	-0.050849	-1.1075	0.38144	0.97938	0.26806	0.73059	-0.064646	-1.408	0.38144	0.98958	0.15913	0.49793
SETD7	6	0.047277	0.91145	0.53608	0.98901	0.36206	0.79856	0.039785	0.76697	0.56701	0.97938	0.4431	0.81522	-0.019046	-0.36716	0.71134	0.98958	0.7135	0.93024
SETD8	4	-0.048914	-1.1003	0.2268	0.85185	0.27118	0.79856	-0.039447	-0.88727	0.50515	0.97938	0.37493	0.7969	0.0060819	0.13679	0.94845	0.98958	0.8912	0.97136
SETD9	6	0.032448	1.0033	0.71134	0.98901	0.31572	0.79856	0.017055	0.52731	0.7732	0.97938	0.59798	0.85268	0.038221	1.1816	0.48454	0.98958	0.23735	0.57557
SETDB1	6	0.023242	0.59095	0.84536	0.98901	0.55456	0.86761	0.020252	0.51489	0.70103	0.97938	0.60663	0.85268	0.013766	0.34998	0.80412	0.98958	0.72636	0.93024
SETDB2	6	0.062771	1.222	0.37113	0.92308	0.22171	0.79856	0.090549	1.7626	0.18557	0.90909	0.077967	0.56603	0.033396	0.65007	0.54639	0.98958	0.51564	0.78267
BRD1	6	-0.070529	-1.3977	0.072165	0.53333	0.1622	0.79856	0.033494	0.66368	0.60825	0.97938	0.50689	0.82044	0.043961	0.87104	0.40206	0.98958	0.38373	0.72985
BRD2	6	0.20345	2.1771	0	0	0.029471	0.47645	0.11119	1.1898	0.072165	0.77778	0.23411	0.73059	0.088228	0.94408	0.072165	0.46667	0.34513	0.72985
BRD3	6	-0.043701	-1.039	0.23711	0.85185	0.2988	0.79856	-0.015049	-0.35776	0.74227	0.97938	0.72052	0.90767	0.011244	0.26728	0.82474	0.98958	0.78925	0.93024
BRD4	6	0.12369	2.5267	0.072165	0.53333	0.011514	0.36527	-0.038186	-0.78006	0.46392	0.97938	0.43536	0.81522	-0.072098	-1.4728	0.35052	0.98958	0.14081	0.47098
BRD7	6	-0.074972	-1.9318	0.041237	0.4	0.05338	0.57532	-0.042818	-1.1032	0.43299	0.97938	0.26994	0.73059	0.0013839	0.035653	0.94845	0.98958	0.97156	0.97953
BRD8	6	0.056762	0.73686	0.42268	0.97619	0.46121	0.82846	0.13642	1.7707	0.041237	0.57143	0.076613	0.56603	0.20761	2.6945	0	0	0.00705	0.13677
BRD9	6	-0.031942	-0.84873	0.30928	0.86486	0.39603	0.79856	-0.042796	-1.1371	0.43299	0.97938	0.25551	0.73059	0.024456	0.64975	0.64948	0.98958	0.51585	0.78267
DNMT1	6	-0.043769	-0.92686	0.23711	0.85185	0.354	0.79856	-0.08973	-1.9	0.19588	0.90909	0.057432	0.55709	-0.11057	-2.3413	0.17526	0.78261	0.019219	0.18642
DNMT3A	6	0.05928	1.0961	0.40206	0.95122	0.27306	0.79856	0.085253	1.5762	0.20619	0.90909	0.11498	0.56678	-0.0030188	-0.055814	0.8866	0.98958	0.95549	0.97953
DNMT3B	6	0.018805	0.40716	0.93814	0.98913	0.68389	0.89645	0.032373	0.70091	0.61856	0.97938	0.48336	0.82044	-0.013736	-0.29738	0.75258	0.98958	0.76617	0.93024
DNMT3L	6	0.016639	0.49319	0.96907	0.98958	0.62188	0.88679	0.030396	0.90087	0.63918	0.97938	0.36765	0.7969	-0.017924	-0.53123	0.74227	0.98958	0.59526	0.86179
KMT2A	6	-0.034655	-0.62539	0.28866	0.86486	0.53172	0.84552	-0.078793	-1.4219	0.20619	0.90909	0.15507	0.62674	-0.12185	-2.1989	0.13402	0.72222	0.027888	0.22543
